12 months ending,Police force area,Region,Offence,Rolling year total number of offences
30/06/2015,Merseyside,North West,Sexual offences,2165
30/06/2015,Merseyside,North West,Shoplifting,9878
30/06/2015,Merseyside,North West,Stalking and harassment,1996
30/06/2015,Merseyside,North West,Theft from the person,1784
30/06/2015,Merseyside,North West,Vehicle offences,9151
30/06/2015,Merseyside,North West,Violence with injury,10316
30/06/2015,Merseyside,North West,Violence without injury,8134
30/06/2015,Metropolitan Police,London,All other theft offences,108582
30/06/2015,Metropolitan Police,London,Bicycle theft,17419
30/06/2015,Metropolitan Police,London,Criminal damage and arson,59842
30/06/2015,Metropolitan Police,London,Death or serious injury caused by illegal driving,58
30/06/2015,Metropolitan Police,London,Domestic burglary,46173
30/06/2015,Metropolitan Police,London,Drug offences,41076
30/06/2015,Metropolitan Police,London,Homicide,100
30/06/2015,Metropolitan Police,London,Miscellaneous crimes against society,8734
30/06/2015,Metropolitan Police,London,Non-domestic burglary,25990
30/06/2015,Metropolitan Police,London,Non-residential burglary,
30/06/2015,Metropolitan Police,London,Possession of weapons offences,4371
30/06/2015,Metropolitan Police,London,Public order offences,39869
30/06/2015,Metropolitan Police,London,Residential burglary,
30/06/2015,Metropolitan Police,London,Robbery,21773
30/06/2015,Metropolitan Police,London,Sexual offences,15289
30/06/2015,Metropolitan Police,London,Shoplifting,41613
30/06/2015,Metropolitan Police,London,Stalking and harassment,30639
30/06/2015,Metropolitan Police,London,Theft from the person,32916
30/06/2015,Metropolitan Police,London,Vehicle offences,80755
30/06/2015,Metropolitan Police,London,Violence with injury,70667
30/06/2015,Metropolitan Police,London,Violence without injury,66733
30/06/2015,Norfolk,East,All other theft offences,5698
30/06/2015,Norfolk,East,Bicycle theft,1333
30/06/2015,Norfolk,East,Criminal damage and arson,7424
30/06/2015,Norfolk,East,Death or serious injury caused by illegal driving,9
30/06/2015,Norfolk,East,Domestic burglary,1350
30/06/2015,Norfolk,East,Drug offences,2311
30/06/2015,Norfolk,East,Homicide,7
30/06/2015,Norfolk,East,Miscellaneous crimes against society,991
30/06/2015,Norfolk,East,Non-domestic burglary,2070
30/06/2015,Norfolk,East,Non-residential burglary,
30/06/2015,Norfolk,East,Possession of weapons offences,253
30/06/2015,Norfolk,East,Public order offences,3413
30/06/2015,Norfolk,East,Residential burglary,
30/06/2015,Norfolk,East,Robbery,224
30/06/2015,Norfolk,East,Sexual offences,1601
30/06/2015,Norfolk,East,Shoplifting,3892
30/06/2015,Norfolk,East,Stalking and harassment,905
30/06/2015,Norfolk,East,Theft from the person,350
30/06/2015,Norfolk,East,Vehicle offences,2359
30/06/2015,Norfolk,East,Violence with injury,4942
30/06/2015,Norfolk,East,Violence without injury,6666
30/06/2015,North Wales,Wales,All other theft offences,4244
30/06/2015,North Wales,Wales,Bicycle theft,549
30/06/2015,North Wales,Wales,Criminal damage and arson,6722
30/06/2015,North Wales,Wales,Death or serious injury caused by illegal driving,6
30/06/2015,North Wales,Wales,Domestic burglary,1361
30/06/2015,North Wales,Wales,Drug offences,1667
30/06/2015,North Wales,Wales,Homicide,7
30/06/2015,North Wales,Wales,Miscellaneous crimes against society,656
30/06/2015,North Wales,Wales,Non-domestic burglary,2399
30/06/2015,North Wales,Wales,Non-residential burglary,
30/06/2015,North Wales,Wales,Possession of weapons offences,215
30/06/2015,North Wales,Wales,Public order offences,1292
30/06/2015,North Wales,Wales,Residential burglary,
30/06/2015,North Wales,Wales,Robbery,128
30/06/2015,North Wales,Wales,Sexual offences,1216
30/06/2015,North Wales,Wales,Shoplifting,3827
30/06/2015,North Wales,Wales,Stalking and harassment,946
30/06/2015,North Wales,Wales,Theft from the person,201
30/06/2015,North Wales,Wales,Vehicle offences,2016
30/06/2015,North Wales,Wales,Violence with injury,4747
30/06/2015,North Wales,Wales,Violence without injury,4100
30/06/2015,North Yorkshire,Yorkshire and The Humber,All other theft offences,4881
30/06/2015,North Yorkshire,Yorkshire and The Humber,Bicycle theft,1224
30/06/2015,North Yorkshire,Yorkshire and The Humber,Criminal damage and arson,5291
30/06/2015,North Yorkshire,Yorkshire and The Humber,Death or serious injury caused by illegal driving,18
30/06/2015,North Yorkshire,Yorkshire and The Humber,Domestic burglary,1404
30/06/2015,North Yorkshire,Yorkshire and The Humber,Drug offences,2004
30/06/2015,North Yorkshire,Yorkshire and The Humber,Homicide,9
30/06/2015,North Yorkshire,Yorkshire and The Humber,Miscellaneous crimes against society,567
30/06/2015,North Yorkshire,Yorkshire and The Humber,Non-domestic burglary,2602
30/06/2015,North Yorkshire,Yorkshire and The Humber,Non-residential burglary,
30/06/2015,North Yorkshire,Yorkshire and The Humber,Possession of weapons offences,206
30/06/2015,North Yorkshire,Yorkshire and The Humber,Public order offences,1271
30/06/2015,North Yorkshire,Yorkshire and The Humber,Residential burglary,
30/06/2015,North Yorkshire,Yorkshire and The Humber,Robbery,160
30/06/2015,North Yorkshire,Yorkshire and The Humber,Sexual offences,1095
30/06/2015,North Yorkshire,Yorkshire and The Humber,Shoplifting,4003
30/06/2015,North Yorkshire,Yorkshire and The Humber,Stalking and harassment,825
30/06/2015,North Yorkshire,Yorkshire and The Humber,Theft from the person,507
30/06/2015,North Yorkshire,Yorkshire and The Humber,Vehicle offences,2211
30/06/2015,North Yorkshire,Yorkshire and The Humber,Violence with injury,4047
30/06/2015,North Yorkshire,Yorkshire and The Humber,Violence without injury,2853
30/06/2015,Northamptonshire,East Midlands,All other theft offences,5614
30/06/2015,Northamptonshire,East Midlands,Bicycle theft,892
30/06/2015,Northamptonshire,East Midlands,Criminal damage and arson,7116
30/06/2015,Northamptonshire,East Midlands,Death or serious injury caused by illegal driving,5
30/06/2015,Northamptonshire,East Midlands,Domestic burglary,2289
30/06/2015,Northamptonshire,East Midlands,Drug offences,1835
30/06/2015,Northamptonshire,East Midlands,Homicide,10
30/06/2015,Northamptonshire,East Midlands,Miscellaneous crimes against society,769
30/06/2015,Northamptonshire,East Midlands,Non-domestic burglary,3264
30/06/2015,Northamptonshire,East Midlands,Non-residential burglary,
30/06/2015,Northamptonshire,East Midlands,Possession of weapons offences,291
30/06/2015,Northamptonshire,East Midlands,Public order offences,1300
30/06/2015,Northamptonshire,East Midlands,Residential burglary,
30/06/2015,Northamptonshire,East Midlands,Robbery,621
30/06/2015,Northamptonshire,East Midlands,Sexual offences,1449
30/06/2015,Northamptonshire,East Midlands,Shoplifting,4459
30/06/2015,Northamptonshire,East Midlands,Stalking and harassment,750
30/06/2015,Northamptonshire,East Midlands,Theft from the person,605
30/06/2015,Northamptonshire,East Midlands,Vehicle offences,3968
30/06/2015,Northamptonshire,East Midlands,Violence with injury,5569
30/06/2015,Northamptonshire,East Midlands,Violence without injury,5926
30/06/2015,Northumbria,North East,All other theft offences,9826
30/06/2015,Northumbria,North East,Bicycle theft,1812
30/06/2015,Northumbria,North East,Criminal damage and arson,15125
30/06/2015,Northumbria,North East,Death or serious injury caused by illegal driving,19
30/06/2015,Northumbria,North East,Domestic burglary,3172
30/06/2015,Northumbria,North East,Drug offences,3429
30/06/2015,Northumbria,North East,Homicide,19
30/06/2015,Northumbria,North East,Miscellaneous crimes against society,1261
30/06/2015,Northumbria,North East,Non-domestic burglary,4769
30/06/2015,Northumbria,North East,Non-residential burglary,
30/06/2015,Northumbria,North East,Possession of weapons offences,645
30/06/2015,Northumbria,North East,Public order offences,2835
30/06/2015,Northumbria,North East,Residential burglary,
30/06/2015,Northumbria,North East,Robbery,518
30/06/2015,Northumbria,North East,Sexual offences,2354
30/06/2015,Northumbria,North East,Shoplifting,9849
30/06/2015,Northumbria,North East,Stalking and harassment,1184
30/06/2015,Northumbria,North East,Theft from the person,831
30/06/2015,Northumbria,North East,Vehicle offences,5394
30/06/2015,Northumbria,North East,Violence with injury,8715
30/06/2015,Northumbria,North East,Violence without injury,4248
30/06/2015,Nottinghamshire,East Midlands,All other theft offences,8813
30/06/2015,Nottinghamshire,East Midlands,Bicycle theft,2083
30/06/2015,Nottinghamshire,East Midlands,Criminal damage and arson,10517
30/06/2015,Nottinghamshire,East Midlands,Death or serious injury caused by illegal driving,13
30/06/2015,Nottinghamshire,East Midlands,Domestic burglary,3939
30/06/2015,Nottinghamshire,East Midlands,Drug offences,3408
30/06/2015,Nottinghamshire,East Midlands,Homicide,10
30/06/2015,Nottinghamshire,East Midlands,Miscellaneous crimes against society,1040
30/06/2015,Nottinghamshire,East Midlands,Non-domestic burglary,4549
30/06/2015,Nottinghamshire,East Midlands,Non-residential burglary,
30/06/2015,Nottinghamshire,East Midlands,Possession of weapons offences,620
30/06/2015,Nottinghamshire,East Midlands,Public order offences,2414
30/06/2015,Nottinghamshire,East Midlands,Residential burglary,
30/06/2015,Nottinghamshire,East Midlands,Robbery,954
30/06/2015,Nottinghamshire,East Midlands,Sexual offences,2053
30/06/2015,Nottinghamshire,East Midlands,Shoplifting,7990
30/06/2015,Nottinghamshire,East Midlands,Stalking and harassment,1597
30/06/2015,Nottinghamshire,East Midlands,Theft from the person,1208
30/06/2015,Nottinghamshire,East Midlands,Vehicle offences,6823
30/06/2015,Nottinghamshire,East Midlands,Violence with injury,9997
30/06/2015,Nottinghamshire,East Midlands,Violence without injury,5904
30/06/2015,South Wales,Wales,All other theft offences,11276
30/06/2015,South Wales,Wales,Bicycle theft,2070
30/06/2015,South Wales,Wales,Criminal damage and arson,13315
30/06/2015,South Wales,Wales,Death or serious injury caused by illegal driving,9
30/06/2015,South Wales,Wales,Domestic burglary,3537
30/06/2015,South Wales,Wales,Drug offences,4297
30/06/2015,South Wales,Wales,Homicide,12
30/06/2015,South Wales,Wales,Miscellaneous crimes against society,1557
30/06/2015,South Wales,Wales,Non-domestic burglary,5215
30/06/2015,South Wales,Wales,Non-residential burglary,
30/06/2015,South Wales,Wales,Possession of weapons offences,413
30/06/2015,South Wales,Wales,Public order offences,5816
30/06/2015,South Wales,Wales,Residential burglary,
30/06/2015,South Wales,Wales,Robbery,364
30/06/2015,South Wales,Wales,Sexual offences,1710
30/06/2015,South Wales,Wales,Shoplifting,8839
30/06/2015,South Wales,Wales,Stalking and harassment,4543
30/06/2015,South Wales,Wales,Theft from the person,1299
30/06/2015,South Wales,Wales,Vehicle offences,8768
30/06/2015,South Wales,Wales,Violence with injury,10411
30/06/2015,South Wales,Wales,Violence without injury,6380
30/06/2015,South Yorkshire,Yorkshire and The Humber,All other theft offences,13235
30/06/2015,South Yorkshire,Yorkshire and The Humber,Bicycle theft,1252
30/06/2015,South Yorkshire,Yorkshire and The Humber,Criminal damage and arson,15901
30/06/2015,South Yorkshire,Yorkshire and The Humber,Death or serious injury caused by illegal driving,21
30/06/2015,South Yorkshire,Yorkshire and The Humber,Domestic burglary,6655
30/06/2015,South Yorkshire,Yorkshire and The Humber,Drug offences,3146
30/06/2015,South Yorkshire,Yorkshire and The Humber,Homicide,12
30/06/2015,South Yorkshire,Yorkshire and The Humber,Miscellaneous crimes against society,1338
30/06/2015,South Yorkshire,Yorkshire and The Humber,Non-domestic burglary,6728
30/06/2015,South Yorkshire,Yorkshire and The Humber,Non-residential burglary,
30/06/2015,South Yorkshire,Yorkshire and The Humber,Possession of weapons offences,692
30/06/2015,South Yorkshire,Yorkshire and The Humber,Public order offences,2865
30/06/2015,South Yorkshire,Yorkshire and The Humber,Residential burglary,
30/06/2015,South Yorkshire,Yorkshire and The Humber,Robbery,1022
30/06/2015,South Yorkshire,Yorkshire and The Humber,Sexual offences,2780
30/06/2015,South Yorkshire,Yorkshire and The Humber,Shoplifting,10637
30/06/2015,South Yorkshire,Yorkshire and The Humber,Stalking and harassment,1842
30/06/2015,South Yorkshire,Yorkshire and The Humber,Theft from the person,1700
30/06/2015,South Yorkshire,Yorkshire and The Humber,Vehicle offences,10509
30/06/2015,South Yorkshire,Yorkshire and The Humber,Violence with injury,9743
30/06/2015,South Yorkshire,Yorkshire and The Humber,Violence without injury,5056
30/06/2015,Staffordshire,West Midlands,All other theft offences,7985
30/06/2015,Staffordshire,West Midlands,Bicycle theft,965
30/06/2015,Staffordshire,West Midlands,Criminal damage and arson,9579
30/06/2015,Staffordshire,West Midlands,Death or serious injury caused by illegal driving,12
30/06/2015,Staffordshire,West Midlands,Domestic burglary,2569
30/06/2015,Staffordshire,West Midlands,Drug offences,2453
30/06/2015,Staffordshire,West Midlands,Homicide,17
30/06/2015,Staffordshire,West Midlands,Miscellaneous crimes against society,1321
30/06/2015,Staffordshire,West Midlands,Non-domestic burglary,3548
30/06/2015,Staffordshire,West Midlands,Non-residential burglary,
30/06/2015,Staffordshire,West Midlands,Possession of weapons offences,439
30/06/2015,Staffordshire,West Midlands,Public order offences,1903
30/06/2015,Staffordshire,West Midlands,Residential burglary,
30/06/2015,Staffordshire,West Midlands,Robbery,562
30/06/2015,Staffordshire,West Midlands,Sexual offences,1988
30/06/2015,Staffordshire,West Midlands,Shoplifting,5872
30/06/2015,Staffordshire,West Midlands,Stalking and harassment,2641
30/06/2015,Staffordshire,West Midlands,Theft from the person,519
30/06/2015,Staffordshire,West Midlands,Vehicle offences,4629
30/06/2015,Staffordshire,West Midlands,Violence with injury,8896
30/06/2015,Staffordshire,West Midlands,Violence without injury,6563
30/06/2015,Suffolk,East,All other theft offences,4686
30/06/2015,Suffolk,East,Bicycle theft,1290
30/06/2015,Suffolk,East,Criminal damage and arson,6803
30/06/2015,Suffolk,East,Death or serious injury caused by illegal driving,7
30/06/2015,Suffolk,East,Domestic burglary,1495
30/06/2015,Suffolk,East,Drug offences,1750
30/06/2015,Suffolk,East,Homicide,5
30/06/2015,Suffolk,East,Miscellaneous crimes against society,876
30/06/2015,Suffolk,East,Non-domestic burglary,2457
30/06/2015,Suffolk,East,Non-residential burglary,
30/06/2015,Suffolk,East,Possession of weapons offences,272
